ID	Exp	Pol	Out	Uni
1	61,23	61,4	61,27	62,22
2	62,49	62,08	61,75	61,06
3	55,82	56,1	55,87	56,68
5	58,88	57,3	58,31	59,58
6	62,99	62,85	63,18	63,81
7	56,1	55,73	56,3	57,49
8	64,7	63,69	63,81	63,01
11	59,9	61,56	60,99	61,27
13	50,86	50,32	50,54	52,03
14	51,83	52,42	52,52	52,07
15	61,28	61,45	61,71	62,38
18	58,34	59,15	58,37	59,55
19	51,56	53,27	52,41	53,32
20	59,84	59,71	59,62	60,67
21	51,66	52,19	52,41	53,29
22	57,85	56,5	56,49	56,63
24	60,92	61,17	60,31	62,12
25	57,06	56,6	56,96	58,72
26	60,33	59,54	59,05	61,78
30	51,06	51,82	51,38	50,58
31	61,6	61,87	62,05	62,66
32	38,76	41,63	40,76	38,76
34	61,35	60,5	60,29	62,83
